"word","translation","transcription","level","lang"
"没关系","неважно, ничего, пустяки","méi guānxi","A1","zh"
"米饭","варёный рис","mǐfàn","A1","zh"
"明天","завтра, завтрашний день","míng tiān","A1","zh"
"名字","имя (человека), кличка (животного)","míngzi","A1","zh"
"哪","какой, который","nǎ","A1","zh"
"那","тот, то, тогда, в таком случае","nà","A1","zh"
"呢","вопросительная частица «же», утвердительная частица «ведь»","ne","A1","zh"
"能","способный, способность; мочь, быть в состоянии","néng","A1","zh"
"你","ты, вы, твой, ваш","nǐ","A1","zh"
"年","год, годы","nián","A1","zh"
"女儿","дочь","nǚ’er","A1","zh"
"朋友","друг, товарищ","péng you","A1","zh"
"漂亮","красивый","piào liang","A1","zh"
"苹果","яблоко","píng guǒ","A1","zh"
"七","семь, седьмой","qī","A1","zh"
"钱","деньги","qián","A1","zh"
"前面","перед, впереди, выше, раньше","qiánmiàn","A1","zh"
"请","просить, пожалуйста!, приглашать","qǐng","A1","zh"
"去","ухожить, отправляться, идти","qù","A1","zh"
"热","горячий, увлечение, мода","rè","A1","zh"
"人","человек","rén","A1","zh"
"认识","знать, быть знакомым, знакомиться","rènshi","A1","zh"
"日","солнце, солнечный, день, число, дата","rì","A1","zh"
"三","три, третий","sān","A1","zh"
"商店","магазин","shāng diàn","A1","zh"
"上","верх, прошлый, на, в","shàng","A1","zh"
"上午","до полудня","shàng wǔ","A1","zh"
"少","мало, немного редко","shǎo","A1","zh"
"谁","кто, кого, чей","shuí","A1","zh"
"什么","что?, что такое?, какой?, как?","shénme","A1","zh"
"十","десять, десятый","shí","A1","zh"
"时候","время, промежуток времени, во время","shíhou","A1","zh"
"是","есть, быть, являться; да, правда","shì","A1","zh"
"书","книга","shū","A1","zh"
"水","вода, водяной, гидро","shuǐ","A1","zh"
"水果","фрукты, фруктовый","shuǐguǒ","A1","zh"
"睡觉","спать","shuì jiào","A1","zh"
"说话","говорить, разговаривать","shuōhuà","A1","zh"
"四","четыре, четвёртый","sì","A1","zh"
"岁","годы, лета","suì","A1","zh"
"他","он, его","tā","A1","zh"
"她","она, её","tā","A1","zh"
"太","слишком, чересчур, чрезвычайно","tài","A1","zh"
"天气","погода, климат","tiānqì","A1","zh"
"听","слушать","tīng","A1","zh"
"同学","соученик, одноклассник","tóng xué","A1","zh"
"喂","кормить; алло, эй!","wèi","A1","zh"
"我","я, мой, наш","wǒ","A1","zh"
"我们","мы, наш","wǒmen","A1","zh"
"五","пять, пятый","wǔ","A1","zh"
"喜欢","нравиться, любить","xǐhuan","A1","zh"
"下","нижний, низ; предлог под, при; следующий","xià","A1","zh"
"下午","вторая половина дня, после полудня","xiàwǔ","A1","zh"
"下雨","идёт дождь, стоит дождливая погода","xiàyǔ","A1","zh"
"先生","господин, мистер","xiān sheng","A1","zh"
"现在","теперь, сейчас, ныне","xiàn zài","A1","zh"
"想","думать, собираться, хотеть","xiǎng","A1","zh"
"小","маленький, мелкий, малый, молодой, младший","xiǎo","A1","zh"
"小姐","барышня, мисс","xiǎojie","A1","zh"
"些","немного, несколько","xiē","A1","zh"
"写","писать, записывать, описывать","xiě","A1","zh"
"谢谢","спасибо, благодарю, благодарить","xièxie","A1","zh"
"星期","неделя","xīngqī","A1","zh"
"学生","студент, ученик, учащийся","xué sheng","A1","zh"
"学习","учиться, обучаться; обучение, учёба","xuéxí","A1","zh"
"学校","школа, учебное заведение, училище","xuéxiào","A1","zh"
"一","один, единица, первый","yī","A1","zh"
"衣服","одежда, платье, костюм","yīfu","A1","zh"
"医生","врач, доктор","yī sheng","A1","zh"
"医院","больница, госпиталь","yī yuàn","A1","zh"
"椅子","стул, кресло","yǐzi","A1","zh"
"有","иметь(ся), иметь в наличии, обладать, есть","yǒu","A1","zh"
"月","луна, месяц","yuè","A1","zh"
"在","быть в живых, существовать; находиться; в, на","zài","A1","zh"
"再见","до свидания","zài jiàn","A1","zh"
"怎么","как?, каким образом?","zěnme","A1","zh"
"怎么样","как, каким образом; каков; как насчёт?","zěn me yàng","A1","zh"
"这","это, этот","zhè","A1","zh"
"中国","Китай, китайский","zhōng guó","A1","zh"
"中午","полдень","zhōng wǔ","A1","zh"
"住","жить, проживать","zhù","A1","zh"
"桌子","стол","zhuōzi","A1","zh"
"字","иероглиф, слово","zì","A1","zh"
"昨天","вчера, вчерашний день","zuó tiān","A1","zh"
"坐","сидеть, садиться, ехать на (в)","zuò","A1","zh"
"做","делать, изготавливать; быть (работать) кем-либо; писать","zuò","A1","zh"
"а","啊","a","A1","ru"
"август","八月","avgust","A1","ru"
"автобус","公共汽车","avtobus","A1","ru"
"автомобиль","汽车","avtomobil","A1","ru"
"автор","作者","avtor","A1","ru"
"адрес","地址","adres","A1","ru"
"адресат","收件人","adresat","A1","ru"
"азбука","字母表","azbuka","A1","ru"
"азиатский","亚洲的","aziatskiy","A1","ru"
"Азия","亚洲","Aziya","A1","ru"
"актер","演员","akter","A1","ru"
"актриса","女演员","aktrisa","A1","ru"
"аллергия","过敏","allergiya","A1","ru"
"алфавит","字母表","alfavit","A1","ru"
"Америка","美国","Amerika","A1","ru"
"американец","美国人","amerikanets","A1","ru"
"американский","美国的","amerikanskiy","A1","ru"
"английский","英语","angliyskiy","A1","ru"
"англичанин","英国人","anglichanin","A1","ru"
"анкета","问卷","anketa","A1","ru"
"апельсин","橙子","apelsin","A1","ru"
"апрель","四月","aprel","A1","ru"
"аптека","药店","aptéka","A1","ru"
"араб","阿拉伯人","arab","A1","ru"
"арабский","阿拉伯语","arabskiy","A1","ru"
"артист","艺术家","artist","A1","ru"
"Африка","非洲","Afrika","A1","ru"
"африканский","非洲的","afrikanskiy","A1","ru"
"аэропорт","机场","aeróport","A1","ru"
"бабушка","奶奶","babushka","A1","ru"
"балет","芭蕾舞","balet","A1","ru"
"банан","香蕉","banan","A1","ru"
"банк","银行","bank","A1","ru"
"банкомат","自动取款机","bankomat","A1","ru"
"баскетбол","篮球","basketbol","A1","ru"
"бассейн","游泳池","basseyn","A1","ru"
"бегать","跑步","begat","A1","ru"
"бедный","贫穷的","bednyy","A1","ru"
"бежать","跑","bezhat","A1","ru"
"без","没有","bez","A1","ru"
"Беларусь","白俄罗斯","Belarus","A1","ru"
"Белоруссия","白俄罗斯","Belorusiya","A1","ru"
"белорусский","白俄罗斯语","belorusskiy","A1","ru"
"белый","白色的","belyy","A1","ru"
"библиотека","图书馆","biblioteka","A1","ru"
"билет","票","bilet","A1","ru"
"близкий","亲密的","blizkiy","A1","ru"
"близко","近","blizko","A1","ru"
"блюдо","菜","byudo","A1","ru"
"богатый","富有的","bogatyy","A1","ru"
"бок","边","bok","A1","ru"
"болеть","生病","bolet","A1","ru"
"боль","疼痛","bol","A1","ru"
"больница","医院","bolnitsa","A1","ru"
"больно","疼","bolno","A1","ru"
"больной","病人","bolnoy","A1","ru"
"больше","更多","bolshye","A1","ru"
"большой","大的","bolshoy","A1","ru"
"ботинок","靴子","botinok","A1","ru"
"брат","兄弟","brat","A1","ru"
"брать","拿","brat","A1","ru"
"британский","英国的","britanskiy","A1","ru"
"бриться","刮胡子","britysya","A1","ru"
"брюки","裤子","bruki","A1","ru"
"буква","字母","bukva","A1","ru"
"бумага","纸","bumaga","A1","ru"
"бутерброд","三明治","buterbrod","A1","ru"
"бутылка","瓶子","butylka","A1","ru"
"быстро","快","bystro","A1","ru"
"быстрый","快的","bystriy","A1","ru"
"быть","是","byt","A1","ru"
"в","在","v","A1","ru"
"важно","重要","vazhno","A1","ru"
"важный","重要的","vazhnyy","A1","ru"
"ванна","浴缸","vanna","A1","ru"
"ванная","浴室","vannaya","A1","ru"
"ваш","您的","vash","A1","ru"
"вдова","寡妇","vdova","A1","ru"
"вдовец","鳏夫","vdovets","A1","ru"
"вежливо","礼貌地","vezhlivo","A1","ru"
"вежливый","礼貌的","vezhlivyy","A1","ru"
"велосипед","自行车","velosiped","A1","ru"
"верно","对","verno","A1","ru"
"верх","上","verkh","A1","ru"
"весна","春天","vesna","A1","ru"
"вечер","晚上","vecher","A1","ru"
"вещь","东西","veshch","A1","ru"
"взрослый","成年人","vzroslyy","A1","ru"
"вид спорта","体育项目","vid sporta","A1","ru"
"видео","视频","video","A1","ru"
"видеть","看见","videt","A1","ru"
"виза","签证","viza","A1","ru"
"вилка","叉子","vilka","A1","ru"
"вино","酒","vino","A1","ru"
"виноград","葡萄","vinograd","A1","ru"
"виски","威士忌","viski","A1","ru"
"включать","打开","vklyuchat","A1","ru"
"вкусный","好吃的","vkusnyy","A1","ru"
"внимание","注意","vnimaniye","A1","ru"
"внук","孙子","vnuk","A1","ru"
"внучка","孙女","vnuchka","A1","ru"
"вода","水","voda","A1","ru"
"водитель","司机","voditel","A1","ru"
"водительские права","驾驶证","voditelskiye prava","A1","ru"
"водка","伏特加","vodka","A1","ru"
"возраст","年龄","vozrast","A1","ru"
"волейбол","排球","voleibol","A1","ru"
"волос","头发","volos","A1","ru"
"вопрос","问题","vopros","A1","ru"
"вопросительный","疑问的","voprostitelnyy","A1","ru"
"воровать","偷","vorovat","A1","ru"
"восемнадцать","十八","vosemnadtsat","A1","ru"
"восемь","八","vosem","A1","ru"
"восемьдесят","八十","vosemdesyat","A1","ru"
"восемьсот","八百","vosemsot","A1","ru"
"восклицательный","感叹的","vosklitsatelnyy","A1","ru"
"воскресенье","星期日","voskresenye","A1","ru"
"восток","东","vostok","A1","ru"
"вот","这","vot","A1","ru"
"врач","医生","vrach","A1","ru"
"время","时间","vremya","A1","ru"
"время года","季节","vremya goda","A1","ru"
"все","都","vse","A1","ru"
"вторник","星期二","vtornik","A1","ru"
"вход","入口","vkhod","A1","ru"
"входить","进入","vkhozhit","A1","ru"
"вчера","昨天","vchera","A1","ru"
"въезд","入口","vyezd","A1","ru"
"вы","您","vy","A1","ru"
"выбирать","选择","vybirat","A1","ru"
"выезд","出口","vyezd","A1","ru"
"выключатель","开关","výklyuchatel","A1","ru"
"выключать","关闭","výklyuchat","A1","ru"
"высокий","高的","vysokiy","A1","ru"
"выучивать","学习","vyuchivat","A1","ru"
"выход","出口","vykhod","A1","ru"
"выходить","出去","vykhodit","A1","ru"
"выходной день","休息日","vykhodnoy den","A1","ru"
"где","哪里","gde","A1","ru"
"гель","凝胶","gel","A1","ru"
"Германия","德国","Germaniya","A1","ru"
"глагол","动词","glagol","A1","ru"
"глаз","眼睛","glaz","A1","ru"
"гласный","元音","glasnyy","A1","ru"
"говорить","说话","govorit","A1","ru"
"год","年","god","A1","ru"
"голландский","荷兰语","gollandskiy","A1","ru"
"голова","头","golova","A1","ru"
"головная боль","头痛","golovnaya bol","A1","ru"
"головной","头部的","golovnoy","A1","ru"
"голодный","饿的","golodnyy","A1","ru"
"голубой","蓝色","goluboy","A1","ru"
"город","城市","gorod","A1","ru"
"горячий","热的","goryachiy","A1","ru"
"господин","先生","gospodin","A1","ru"
"госпожа","女士","gospozha","A1","ru"
"гость","客人","gost","A1","ru"
"готовить","做饭","gotovit","A1","ru"
"гражданин","公民","grazhdanin","A1","ru"
"гражданка","女公民","grazhdanka","A1","ru"
"грамм","克","gramm","A1","ru"
"грек","希腊人","greek","A1","ru"
"громкий","大声的","gromkiy","A1","ru"
"громко","大声地","gromko","A1","ru"
"группа","组","gruppa","A1","ru"
"груша","梨","grusha","A1","ru"
"гулять","散步","gulyat","A1","ru"
"да","是","da","A1","ru"
"давать","给","davat","A1","ru"
"далеко","远","daleko","A1","ru"
"дарить","送","darit","A1","ru"
"дата","日期","data","A1","ru"
"два","二","dva","A1","ru"
"двадцать","二十","dvadtsat","A1","ru"
"двенадцать","十二","dvenadtsat","A1","ru"
"дверь","门","dver","A1","ru"
"двести","二百","dvesti","A1","ru"
"девочка","女孩","devochka","A1","ru"
"девушка","女","devushka","A1","ru"
"девяносто","九十","devyanosto","A1","ru"
"девятнадцать","十九","devyatnadtsat","A1","ru"
"девять","九","devyat","A1","ru"
"девятьсот","九百","devyatsot","A1","ru"
"дедушка","爷爷","dedushka","A1","ru"
"декабрь","十二月","dekabr","A1","ru"
"делать","做","delat","A1","ru"
"день","天","den","A1","ru"
"день недели","星期","den nedeli","A1","ru"
"день рождения","生日","den rozhdeniya","A1","ru"
"деньги","钱","dengi","A1","ru"
"десять","十","desyat","A1","ru"
"дети","孩子","deti","A1","ru"
"дешево","便宜","deshevo","A1","ru"
"дешевый","便宜的","deshevy","A1","ru"
"джинсы","牛仔裤","dzinsy","A1","ru"
"диалог","对话","dialog","A1","ru"
"диван","沙发","divan","A1","ru"
"длина","长度","dlina","A1","ru"
"длинный","长的","dlinny","A1","ru"
"для","为了","dlya","A1","ru"
"до свидания","再见","do svidaniya","A1","ru"
"добро пожаловать","欢迎","dobro pozhalovat","A1","ru"
"дождь","雨","dozhd","A1","ru"
"доктор","医生","doktor","A1","ru"
"документ","文件","dokument","A1","ru"
"долго","久","dolgo","A1","ru"
"должен","应该","dolzhen","A1","ru"
"доллар","美元","dollar","A1","ru"
"дом","家","dom","A1","ru"
"дома","在家","doma","A1","ru"
"домашнее задание","家庭作业","domashneye zadaniye","A1","ru"
"дорого","贵","dorogo","A1","ru"
"дорогой","贵的","dorogoy","A1","ru"
"доска","板","doska","A1","ru"
"дочь","女儿","doch","A1","ru"
"друг","朋友","drug","A1","ru"
"другой","另一个","drugoy","A1","ru"
"дружба","友谊","druzhba","A1","ru"
"думать","想","dumat","A1","ru"
"душ","淋浴","dush","A1","ru"
"дядя","叔叔","dyadya","A1","ru"
"евро","欧元","yevro","A1","ru"
"Европа","欧洲","Yevropa","A1","ru"
"европеец","欧洲人","yevropeyets","A1","ru"
"европейский","欧洲的","yevropeyskiy","A1","ru"
"его","他的","yego","A1","ru"
"еда","食物","yeda","A1","ru"
"ее","她的","yeye","A1","ru"
"ей","给她","yey","A1","ru"
"есть","吃","yest","A1","ru"
"ехать","去","yekhat","A1","ru"
"еще раз","再","yeshche raz","A1","ru"
"жарко","热","zharko","A1","ru"
"ждать","等待","zhdat","A1","ru"
"желтый","黄色","zheltiy","A1","ru"
"жена","妻子","zhena","A1","ru"
"женатый","已婚的","zhenatyy","A1","ru"
"женский","女性的","zhenskiy","A1","ru"
"женщина","女人","zhenshchina","A1","ru"
"живот","肚子","zhivot","A1","ru"
"жизнь","生活","zhizn","A1","ru"
"жить","住","zhit","A1","ru"
"забывать","忘记","zabyvat","A1","ru"
"завтра","明天","zavtra","A1","ru"
"завтрак","早餐","zavtrak","A1","ru"
"завтракать","吃早餐","zavtrakat","A1","ru"
"задавать","提出","zadavat","A1","ru"
"задание","任务","zadaniye","A1","ru"
"закрывать","关闭","zakryvat","A1","ru"
"закрыто","关闭","zakryto","A1","ru"
"замужем","已婚","zamuzhem","A1","ru"
"заниматься","学习","zanimat sya","A1","ru"
"занятие","课程","zanyatiye","A1","ru"
"запад","西","zapad","A1","ru"
"заплатить","支付","zaplatit","A1","ru"
"заполнять","填写","zapolnyat","A1","ru"
"запоминать","记住","zapominat","A1","ru"
"запрещаться","禁止","zапрещаться","A1","ru"
"запятая","逗号","zapyataya","A1","ru"
"засыпать","睡觉","zasypat","A1","ru"
"захотеть","想要","zakhotet","A1","ru"
"звук","声音","zvuk","A1","ru"
"здесь","这里","zdes","A1","ru"
"здороваться","健康","zdorovat sya","A1","ru"
"здоровый","健康的","zdorovyy","A1","ru"
"здравствовать","你好","zdravstvuyte","A1","ru"
"зеленый","绿色","zelenyy","A1","ru"
"зима","冬天","zima","A1","ru"
"знак","符号","znak","A1","ru"
"знать","知道","znat","A1","ru"
"значить","意思","znachit","A1","ru"
"зуб","牙齿","zub","A1","ru"
"зубная паста","牙膏","zubnaya pasta","A1","ru"
"зубная щетка","牙刷","zubnaya shchetka","A1","ru"
"зубной","牙的","zubnoy","A1","ru"
"и","和","i","A1","ru"
"игра","游戏","igra","A1","ru"
"играть","玩","igrat","A1","ru"
"идет дождь","下雨","idet dozhd","A1","ru"
"идет снег","下雪","idet sneg","A1","ru"
"идти","去","idti","A1","ru"
"из","从","iz","A1","ru"
"извините","对不起","izvinite","A1","ru"
"или","或者","ili","A1","ru"
"им","他们","im","A1","ru"
"именительный","主格","imenitelnyy","A1","ru"
"иметь","有","imet","A1","ru"
"имя","名字","imya","A1","ru"
"индекс","邮编","indeks","A1","ru"
"индийский","印度的","indiyiskiy","A1","ru"
"иностранец","外国人","inostranets","A1","ru"
"иностранка","外国女人","inostranka","A1","ru"
"иностранный","外国的","inostrannyy","A1","ru"
"институт","学院","institut","A1","ru"
"интернет","互联网","internet","A1","ru"
"испанец","西班牙人","ispanets","A1","ru"
"испанский","西班牙语","ispankiy","A1","ru"
"Италия","意大利","Italiya","A1","ru"
"итальянский","意大利语","italyanskiy","A1","ru"
"их","他们的","ikh","A1","ru"
"июль","七月","iyul","A1","ru"
"июнь","六月","iyun","A1","ru"
"йогурт","酸奶","yogurt","A1","ru"
"к","到","k","A1","ru"
"как","怎么","kak","A1","ru"
"как дела","你好吗","kak dela","A1","ru"
"какой","哪个","kakoy","A1","ru"
"капуста","卷心菜","kapusta","A1","ru"
"карандаш","铅笔","karandash","A1","ru"
"карта","地图","karta","A1","ru"
"картофель","土豆","kartofel","A1","ru"
"карточка","卡片","kartochnka","A1","ru"
"картошка","土豆","kartoshka","A1","ru"
"касса","收银台","kassa","A1","ru"
"кассир","收银员","kassir","A1","ru"
"квартира","公寓","kvartira","A1","ru"
"кг","公斤","kg","A1","ru"
"кило","公斤","kilo","A1","ru"
"килограмм","公斤","kilogramm","A1","ru"
"километр","公里","kilometr","A1","ru"
"кино","电影","kino","A1","ru"
"кинотеатр","电影院","kinoteatr","A1","ru"
"китаец","中国人","kitayets","A1","ru"
"Китай","中国","Kitay","A1","ru"
"китайский","中文","kitayskiy","A1","ru"
"класс","班级","klass","A1","ru"
"класть","放","klasch","A1","ru"
"ключ","钥匙","klyuch","A1","ru"
"книга","书","kniga","A1","ru"
"книжка","书","knizhka","A1","ru"
"книжный","书的","knizhnyy","A1","ru"
"книжный магазин","书店","knizhnyy magazin","A1","ru"
"когда","什么时候","kogda","A1","ru"
"кожа","皮肤","kozha","A1","ru"
"кока-кола","可口可乐","koka-kola","A1","ru"
"колбаса","香肠","kolbasa","A1","ru"
"команда","团队","komanda","A1","ru"
"комната","房间","komnata","A1","ru"
"компьютер","电脑","kompuyter","A1","ru"
"конверт","信封","konvert","A1","ru"
"конец","结束","konec","A1","ru"
"консул","领事","konsul","A1","ru"
"консульство","领事馆","konsulstvo","A1","ru"
"конфета","糖果","konfeta","A1","ru"
"кончаться","结束","konchat sya","A1","ru"
"коньяк","白兰地","konjak","A1","ru"
"копейка","戈比","kopeyka","A1","ru"
"коричневый","棕色","korichnevy","A1","ru"
"короткий","短的","korotkiy","A1","ru"
"кофе","咖啡","kofe","A1","ru"
"кошка","猫","koshka","A1","ru"
"красиво","漂亮","krasivo","A1","ru"
"красивый","漂亮的","krasivyy","A1","ru"
"красный","红色","krasnyy","A1","ru"
"краткий","简短的","kratkii","A1","ru"
"кредитная карта","信用卡","kreditnaya karta","A1","ru"
"кресло","椅子","kreslo","A1","ru"
"кровать","床","krovat","A1","ru"
"круг","圆","krug","A1","ru"
"круглый","圆的","kruglyy","A1","ru"
"кружка","杯子","kruzhka","A1","ru"
"кто","谁","kto","A1","ru"
"куда","哪里","kuda","A1","ru"
"купить","买","kupit","A1","ru"
"курица","鸡肉","kuritsa","A1","ru"
"куртка","夹克","kurtka","A1","ru"
"кухня","厨房","kuhnya","A1","ru"
"лампа","灯","lampa","A1","ru"
"левый","左","levyy","A1","ru"
"легко","容易","legko","A1","ru"
"лежать","躺","lezhát","A1","ru"
"лекарство","药","lekarstvo","A1","ru"
"лето","夏天","leto","A1","ru"
"лимон","柠檬","limon","A1","ru"
"литр","升","litr","A1","ru"
"лифчик","胸罩","lifchik","A1","ru"
"лицо","脸","litsó","A1","ru"
"ложка","勺子","lozhka","A1","ru"
"ломать","破坏","lomat","A1","ru"
"лук","洋葱","luk","A1","ru"
"любимый","最喜欢的","lyubimyy","A1","ru"
"любить","爱","lyubit","A1","ru"
"люди","人","lyudi","A1","ru"
"магазин","商店","magazin","A1","ru"
"май","五月","may","A1","ru"
"макароны","面条","makarony","A1","ru"
"маленький","小的","malenkiy","A1","ru"
"мало","少","malo","A1","ru"
"мальчик","男孩","malchik","A1","ru"
"мама","妈妈","mama","A1","ru"
"марка","品牌","marka","A1","ru"
"март","三月","mart","A1","ru"
"маршрутное такси","小巴","marshrutnoye taksi","A1","ru"
"масло","油","maslo","A1","ru"
"мать","母亲","mat","A1","ru"
"машина","车","mashina","A1","ru"
"мебель","家具","mebel","A1","ru"
"мед","蜂蜜","med","A1","ru"
"медленный","慢的","medlennyy","A1","ru"
"место","地方","mesto","A1","ru"
"место рождения","出生地","mesto rozhdeniya","A1","ru"
"местоимение","代词","mestoyimeniye","A1","ru"
"месяц","月","mesyats","A1","ru"
"метр","米","metr","A1","ru"
"метро","地铁","metro","A1","ru"
"милиционер","警察","militser","A1","ru"
"милиция","警察","militsiya","A1","ru"
"минута","分钟","minuta","A1","ru"
"мне","我","mne","A1","ru"
"много","多","mnogo","A1","ru"
"мобильник","手机","mobilnik","A1","ru"
"мобильный","移动的","mobilnyy","A1","ru"
"мобильный телефон","手机","mobilnyy telefon","A1","ru"
"может","可能","mozhet","A1","ru"
"можно","可以","mozhno","A1","ru"
"мой","我的","moy","A1","ru"
"молодец","好样的","molodets","A1","ru"
"молодой","年轻的","molodoy","A1","ru"
"молодой человек","年轻人","molodoy chelovek","A1","ru"
"молоко","牛奶","moloko","A1","ru"
"морковь","胡萝卜","morkov","A1","ru"
"мороженое","冰淇淋","morozhenoye","A1","ru"
"москва","莫斯科","moskva","A1","ru"
"мотоцикл","摩托车","mototsikl","A1","ru"
"мочь","能","moch","A1","ru"
"муж","丈夫","muzh","A1","ru"
"мужской","男性的","muzhskoy","A1","ru"
"мужчина","男人","muzhchina","A1","ru"
"музыка","音乐","muzyka","A1","ru"
"музыкальный","音乐的","muzykalnyy","A1","ru"
"музыкант","音乐家","muzykant","A1","ru"
"мука","面粉","muka","A1","ru"
"мы","我们","my","A1","ru"
"мыло","肥皂","mylo","A1","ru"
"мыть","洗","myt","A1","ru"
"мышка","鼠标","myshka","A1","ru"
"мягкий","软的","myagkiy","A1","ru"
"мясо","肉","myaso","A1","ru"
"мяч","球","myach","A1","ru"
"на","在","na","A1","ru"
"на помощь","救命","na pomoshch","A1","ru"
"надо","需要","nado","A1","ru"
"название","名字","nazvaniye","A1","ru"
"называть","叫","nazivat","A1","ru"
"называться","被叫","nazivat sya","A1","ru"
"наизусть","背诵","naizust","A1","ru"
"написать","写","napisat","A1","ru"
"напиток","饮料","napitok","A1","ru"
"например","例如","naprimer","A1","ru"
"народ","人民","narod","A1","ru"
"нас","我们","nas","A1","ru"
"настоящее","现在","nastoyashchee","A1","ru"
"настоящий","真正的","nastoyashchiy","A1","ru"
"национальность","国籍","natsionalnost","A1","ru"
"начинать","开始","nachinat","A1","ru"
"начинаться","开始","nachinat sya","A1","ru"
"наш","我们的","nash","A1","ru"
"не","不","ne","A1","ru"
"не замужем","未婚","ne zamuzhem","A1","ru"
"невысокий","不高","nevysokey","A1","ru"
"неделя","周","nedelya","A1","ru"
"некрасивый","不漂亮","nekrasivyy","A1","ru"
"нельзя","不能","nelzya","A1","ru"
"немец","德国人","nemets","A1","ru"
"немка","德国女人","nemka","A1","ru"
"непонятный","不明白","neponyatnyy","A1","ru"
"неправильный","不正确","nepravilnyy","A1","ru"
"непростой","不简单","neprostoy","A1","ru"
"нет","没有","net","A1","ru"
"нехорошо","不好","nehorosho","A1","ru"
"низ","下","niz","A1","ru"
"низкий","低的","nizkiy","A1","ru"
"новый","新的","novyy","A1","ru"
"новый год","新年","novyy god","A1","ru"
"нога","腿","noga","A1","ru"
"нож","刀","nozh","A1","ru"
"ноль","零","nol","A1","ru"
"номер","号码","nomer","A1","ru"
"нормально","正常","normalno","A1","ru"
"нос","鼻子","nos","A1","ru"
"носок","袜子","nosok","A1","ru"
"ночь","夜晚","noch","A1","ru"
"ноябрь","十一月","noyabr","A1","ru"
"нравиться","喜欢","nravit sya","A1","ru"
"нужно","需要","nuzhno","A1","ru"
"нужный","需要的","nuzhnyy","A1","ru"
"обед","午餐","obed","A1","ru"
"обедать","吃午餐","obedat","A1","ru"
"обувь","鞋","obuv","A1","ru"
"общежитие","宿舍","obshchyezhitiye","A1","ru"
"объявление","公告","obyavleniye","A1","ru"
